,weights,c,m,sigma,logL,logL_birth,nlive,pid,start_pid,end_pid
96,0.0,-8.016210985641067,-8.374739903399346,0.5558029262705566,-1127.8744321046404,-inf,4904,4420,3027,5096
97,0.0,-5.95658497251327,4.682342868515645,0.23201023210652982,-1117.2395672219745,-inf,4903,4375,1243,5097
98,0.0,7.791310809290786,0.19928519166804382,0.21241466260465414,-1110.3383206929095,-inf,4902,870,3383,5098
99,0.0,-6.2420296626368055,4.883774363207767,0.2555252201046154,-1103.789857831849,-inf,4901,2170,3252,5099
100,0.0,0.05279143227496341,-6.075072725770609,0.12191762152067964,-1102.4190203389844,-inf,4900,4251,4196,5100
101,0.0,8.119081505975757,9.126912046479369,0.3291017261318707,-1092.7394959866479,-inf,4899,3892,3619,5101
102,0.0,-0.7926740028888846,-8.477096555070558,0.21678791195951952,-1090.9865280451222,-inf,4898,2409,2831,5102
103,0.0,-6.615760896111897,8.597404871480823,0.3524112116027611,-1088.9279407556708,-inf,4897,2357,105,5103
104,0.0,-9.288059135233944,-8.524801180938617,0.7026537266764099,-1078.6433660122846,-inf,4896,3016,617,5104
105,0.0,-9.132297462033048,-4.569634923157566,0.5629686232720355,-1072.9682262235142,-inf,4895,3590,933,5105
106,0.0,-4.522754323902491,-9.475574917863385,0.40058962401759324,-1046.7961096321383,-inf,4894,3708,2683,5106
107,0.0,8.585292613649283,7.309695785479087,0.33417857450440014,-1038.8636649429318,-inf,4893,4662,1729,5107
108,0.0,-7.058020909164706,2.490598953789389,0.3156346015386413,-1038.373230239446,-inf,4892,4131,4129,5108
109,0.0,-8.758687873483977,5.511945428373886,0.4888557229442192,-1036.9545816106834,-inf,4891,2652,772,5109
110,0.0,-7.201623000748576,5.4276605659054455,0.3554273075770742,-1024.9939666004504,-inf,4890,428,1709,5110
111,0.0,-0.6806196734937897,-4.514978687209026,0.09633512425307522,-1020.2164687604438,-inf,4889,958,3815,5111
112,0.0,-9.042226658548532,-0.8301908508055433,0.5175215295771096,-1012.928062120109,-inf,4888,1102,714,5112
113,0.0,7.84032755029096,7.127679019342299,0.28573724612944273,-1012.1560257900404,-inf,4887,1580,3785,5113
114,0.0,-6.2266346938978145,-7.493250376632403,0.4400900230054239,-1010.395010341506,-inf,4886,1168,4765,5114
115,0.0,6.460673304303022,-9.424888993873463,0.42149657975768084,-977.5856249329255,-inf,4885,915,804,5115
116,0.0,-6.926176307349388,-6.110649079410191,0.4594575445223903,-977.0219836538876,-inf,4884,568,4357,5116
117,0.0,-9.295235259262128,-7.44581797059614,0.7325048528083911,-976.8238690278455,-inf,4883,2612,4985,5117
118,0.0,-7.517699444164481,-8.243772518235918,0.5925864833455408,-975.486401491315,-inf,4882,1775,3574,5118
119,0.0,-2.1048170245376197,-7.134026730239698,0.22180864276675427,-972.563748451324,-inf,4881,4933,4876,5119
120,0.0,1.9933124223741405,-5.308834188611198,0.11448018882895594,-967.7474708124605,-inf,4880,3572,1155,5120
121,0.0,-0.560764100874791,-8.758084679633505,0.2561012482905056,-956.3144576185862,-inf,4879,1844,614,5121
122,0.0,-9.491276787586642,6.7432241502381185,0.6353364575190268,-950.7132197078207,-inf,4878,4428,4521,5122
123,0.0,-7.48395907148891,-7.036065993408718,0.556562020990583,-948.2986000887732,-inf,4877,3347,147,5123
124,0.0,4.138448557503369,-3.2819328047207685,0.11127201316858848,-930.2624039521578,-inf,4876,2850,4868,5124
125,0.0,-3.4584472891738027,-8.724767014637171,0.3577127065455987,-928.0449896361486,-inf,4875,963,2998,5125
126,0.0,-9.60654724359172,-1.2968564114937564,0.652748615119414,-903.5210374542312,-inf,4874,286,3406,5126
127,0.0,9.702783416176386,8.491830939159799,0.5190798095019677,-902.9042220096846,-inf,4873,2153,2778,5127
128,0.0,7.0208716393021176,-0.07755101754546079,0.21113789197265254,-893.7104008793455,-inf,4872,371,4652,5128
129,0.0,-6.657109852459349,1.2546185503919682,0.33459727526582217,-886.2355843867385,-inf,4871,2506,965,5129
130,0.0,-5.836496962191218,-2.569518232059713,0.3158779050370719,-876.2046229830304,-inf,4870,4549,3365,5130
131,0.0,-9.124060454050763,0.43656631053576866,0.5987527073505938,-872.6791526304208,-inf,4869,3872,2169,5131
132,0.0,-8.668102864965284,6.192472421576634,0.6188831375662196,-824.868649300519,-inf,4868,1942,1828,5132
133,0.0,0.8463387954075197,8.372093581965835,0.10469565410615056,-812.2148390295162,-inf,4867,2548,669,5133
134,0.0,6.788815620544022,0.40171164743785237,0.2132818386163704,-804.7154810153207,-inf,4866,3618,2152,5134
135,0.0,-6.357758212035569,-2.4752103310640106,0.3933841284943962,-795.2656195845944,-inf,4865,3867,3302,5135
136,0.0,-4.5383387430767685,-5.144865904437874,0.3287206190979619,-781.4102167704281,-inf,4864,711,704,5136
137,0.0,8.494945793304854,-6.93481078751045,0.5705780352208301,-775.9411627429168,-inf,4863,3985,763,5137
138,0.0,-3.386821679728169,-9.370074510310037,0.4664777717841351,-768.8713125538895,-inf,4862,1475,1623,5138
139,1.04e-322,-0.6153230998753134,4.14623142551144,0.031050811658939192,-749.8157062628592,-inf,4861,1347,3629,5139
140,1.24e-322,8.25097738384529,-8.501615763264155,0.649880595307728,-749.6367374805325,-inf,4860,3504,4500,5140
141,1.73e-322,6.103939318780438,-9.093940096781111,0.5059135171390627,-749.2874260277725,-inf,4859,3525,530,5141
142,8.7935814e-317,-9.832962147189201,-7.287616219794182,1.0469584200891324,-736.1419907859666,-inf,4858,4618,772,5142
143,7.5671111e-316,2.765381663271733,-8.32762532443458,0.3132342726111159,-733.9896163779019,-inf,4857,566,3557,5143
144,1.22421742808e-312,-4.179090116671378,7.012596489383758,0.25963904898287593,-726.6007855741099,-inf,4856,3794,2049,5144
145,2.5622203131738904e-308,-7.94014882730703,6.172022006555986,0.6171421368156849,-716.6518728153392,-inf,4855,2361,4002,5145
146,3.591654058412397e-307,-7.544588107833219,-9.40150001896344,0.88896480564705,-714.0115490778776,-inf,4854,2665,4504,5146
147,6.434999471434091e-306,9.558739074155431,-9.198345272687698,0.8772028405636889,-711.1258250628714,-inf,4853,726,1136,5147
148,1.3370550461495794e-302,-4.925780111665015,-5.494687107195153,0.4125329286223911,-703.4867669811412,-inf,4852,2264,4544,5148
149,8.768194749820947e-301,-8.940553908965576,-5.440731967146046,0.8769307514203994,-699.3035204154207,-inf,4851,3961,938,5149
150,2.6083236876995663e-300,-9.428666308781292,6.140519954152479,0.8435423591940783,-698.2133585140714,-inf,4850,2968,2076,5150
151,4.639852635388245e-300,-9.708454696414588,8.267329829794651,0.9546132190516965,-697.6373836576971,-inf,4849,1881,3183,5151
152,3.518492925787335e-299,-9.962590558506008,-8.250673915521984,1.1858350194646805,-695.611448418976,-inf,4848,4637,2152,5152
153,1.5278632544978572e-298,2.190666046897398,6.044390075309822,0.059750192483243314,-694.1430258842183,-inf,4847,458,2080,5153
154,3.3401473322976797e-298,-0.48663644572084497,-7.171266450365854,0.25954722368787486,-693.3608811603461,-inf,4846,4265,267,5154
155,1.2533789413904188e-297,9.624767546229718,8.390843743358722,0.6660678290204203,-692.0384679273551,-inf,4845,2947,2537,5155
156,3.250100053374564e-297,8.24052465976537,9.196372175139595,0.5389582821755057,-691.0856252033125,-inf,4844,1971,4644,5156
157,2.3858101690343408e-296,4.6969287408671345,-7.832082723123923,0.3813666814822292,-689.0921871316668,-inf,4843,3789,996,5157
158,5.788288769392164e-296,9.122922090888576,2.946949498787279,0.48468479559411026,-688.2058891932662,-inf,4842,3385,4608,5158
159,2.0414521505748278e-294,9.576555767061778,7.684039479462932,0.6410039901274089,-684.6428943127155,-inf,4841,1544,2554,5159
160,3.049636526675065e-294,-7.494479619486456,-0.4201586919307321,0.5504575683851187,-684.2415332939157,-inf,4840,3164,800,5160
161,5.1813640307316084e-294,-8.636963502691586,-2.3346833878030138,0.7435268226938962,-683.7114873578487,-inf,4839,2644,3740,5161
162,8.254122300760275e-294,9.026257591909594,-3.1985711287048035,0.5524844364925752,-683.2458429574807,-inf,4838,1469,4739,5162
163,8.48354102029121e-293,-6.527592459438396,6.174460446959205,0.4761444127408154,-680.9158426770659,-inf,4837,4048,3184,5163
164,6.959085131834379e-288,-9.239066786802708,-0.28779577397170186,0.8098631423039704,-669.6009971287566,-inf,4836,1997,3561,5164
165,8.498077474708378e-288,-2.2682342140640266,2.8130156657833494,0.0827026247408491,-669.4012051894197,-inf,4835,4947,2227,5165
166,1.7580331886281094e-283,-9.103374598338604,8.191779352755786,0.9103708173421254,-659.4639240052043,-inf,4834,728,2538,5166
167,3.454098411752949e-282,9.33295776651021,7.085641582856654,0.6164069059652744,-656.4859731184931,-inf,4833,4115,1745,5167
168,3.705449083544306e-282,-6.354928197757297,-7.3943560182111145,0.6902570150106313,-656.4157301283873,-inf,4832,4991,4471,5168
169,3.948802463644603e-282,-4.417091305434977,-5.2621481926931235,0.38718976072900757,-656.3521222307376,-inf,4831,3191,3564,5169
170,1.4397233831129928e-277,-8.447909046732995,-5.8919522050297735,0.8974418050395649,-645.8481581248782,-inf,4830,4582,3365,5170
171,1.3362855791515072e-276,-7.002035564715352,8.492401300823884,0.6435975311036435,-643.6201302228374,-inf,4829,1715,3284,5171
172,2.0806152237495625e-272,-9.818001391656699,-4.63208732776109,1.0795810408893391,-633.9670200293552,-inf,4828,3793,194,5172
173,4.5556776811791155e-270,7.050263549139157,-5.342885962674768,0.46415960352911956,-628.5781391769221,-inf,4827,4755,4187,5173
174,2.316602605113171e-264,-7.192455250117646,-8.446155868660345,0.9154485407023683,-615.4389011979735,-inf,4826,3454,1958,5174
175,4.305458124781233e-263,-5.497792101343824,5.920128855066293,0.40294508667554574,-612.5165342739126,-inf,4825,3418,341,5175
176,1.1437109604408752e-261,8.71548661729371,1.2092113673085336,0.49284282237658683,-609.2369694329713,-inf,4824,515,896,5176
177,2.3856533056435665e-261,1.9748766500805726,-4.114358332156622,0.12890517711745986,-608.5017746275165,-inf,4823,4212,173,5177
178,1.1749790492725483e-257,0.8700722271972294,-8.624805371034196,0.37979659108719366,-599.9996569480413,-inf,4822,2729,2643,5178
179,1.3164566064037586e-257,-3.1545998028643174,-6.793175039773769,0.40540668856444917,-599.8859635269953,-inf,4821,1866,1436,5179
180,2.1360070982887093e-257,-5.631272490279224,-8.425291217564418,0.7411664692166609,-599.401969020811,-inf,4820,4062,3231,5180
181,6.050965500360043e-256,-0.2825981915894227,-8.22509799883715,0.36785054743251777,-596.0581043259316,-inf,4819,712,1946,5181
182,1.1004573619001385e-255,-8.928852583797875,-5.52155581675605,1.0357150016874894,-595.4600112021484,-inf,4818,876,2602,5182
183,1.2722811714826216e-254,8.064365172672371,9.581403594455198,0.628408887423626,-593.0123404988361,-inf,4817,1961,4135,5183
184,3.1628457156365296e-254,8.401104214882933,-6.060441227472713,0.6877204653649116,-592.1016798208135,-inf,4816,3725,4044,5184
185,1.091247202409444e-252,6.375504543745358,9.324419618767052,0.4381559379956079,-588.5606605355904,-inf,4815,4896,4392,5185
186,7.600717386019518e-252,-7.2948471821029415,-7.303642918122852,0.8967619122202009,-586.6197391643672,-inf,4814,1604,3342,5186
187,1.0704718826136315e-247,9.278989256434759,-8.314031301759353,0.9760231490412674,-577.0669567720864,-inf,4813,3147,203,5187
188,1.410324734480937e-246,-0.21587247471284154,-9.157032039396501,0.4516723015515667,-574.488651256122,-inf,4812,2819,912,5188
189,1.6815799842895373e-245,6.994294624227813,-8.755923353237307,0.7272949054309175,-572.0101523308515,-inf,4811,3304,1044,5189
190,1.0621221921379999e-243,-8.603780169045145,-4.18944124358851,0.963588339273922,-567.8644469884441,-inf,4810,4348,1524,5190
191,5.903431693143406e-239,7.429293032833555,-0.6539325023546194,0.3966553880080004,-556.9388417664505,-inf,4809,1809,4825,5191
192,4.359266800653236e-236,-2.648290766684296,8.845195503794926,0.30184579778886667,-550.3343164339652,-inf,4808,1134,2166,5192
193,4.392365436579157e-236,7.669848028762898,8.267336531122655,0.5583246164189615,-550.3267524064014,-inf,4807,545,4432,5193
194,6.321472359104882e-236,0.027621579471421853,-3.1582248482134867,0.10370049559813355,-549.9626681629584,-inf,4806,1382,1298,5194
195,9.854516151583561e-235,-8.51616838012665,7.223650989678183,0.9509102284594517,-547.2161053765481,-inf,4805,1165,2299,5195
196,1.1103042361451815e-234,9.97260606030466,-2.083736831847065,0.8045693993097802,-547.0968160618223,-inf,4804,2539,297,5196
197,4.097978672796741e-234,-9.690768485849457,-3.446943626003227,1.178948566188991,-545.7909562807015,-inf,4803,3462,4531,5197
198,1.0707758621416803e-232,-6.661021829878622,3.704257318742199,0.5618435314681447,-542.5278964497036,-inf,4802,662,2174,5198
199,5.350793965682757e-232,7.468592773830265,8.336341705443356,0.5467338413762302,-540.9190349855235,-inf,4801,1054,244,5199
200,6.171175787687656e-232,-4.209887841218047,-6.4876542863576026,0.5239863460082006,-540.7763905551936,-inf,4800,3119,1370,5200
201,2.4013114713051458e-231,-6.116338329288071,0.27079678872294455,0.48677961837939376,-539.4176798127435,-inf,4799,4970,4601,5201
202,3.042805832058232e-231,-5.7582925080226754,-4.498791087778478,0.5879193299223173,-539.1809147864132,-inf,4798,4228,3449,5202
203,1.052566255272949e-230,-8.911516577500889,3.324128108123472,0.9391637869383329,-537.9398785192617,-inf,4797,1069,3772,5203
204,1.4411467821754348e-230,-9.777335661092241,-5.908527344199692,1.341692321498431,-537.6256705810739,-inf,4796,124,4352,5204
